# Wavelength	Spectral Flux Density
# (nm)		(W/m^2/nm)
467.000000	0.71628
468.000000	0.75971
469.000000	0.76454
470.000000	0.73579
471.000000	0.75043
472.000000	0.7901
473.000000	0.7602
474.000000	0.76945
475.000000	0.79554
476.000000	0.76916
477.000000	0.77454
478.000000	0.8004
479.000000	0.7953
480.000000	0.80929
481.000000	0.80994
482.000000	0.81362
483.000000	0.80443
484.000000	0.7898
485.000000	0.78775
486.000000	0.63912
487.000000	0.72351
488.000000	0.78365
489.000000	0.73871
490.000000	0.83011
491.000000	0.79843
492.000000	0.76176
493.000000	0.81531
494.000000	0.79647
495.000000	0.84615
496.000000	0.80515
497.000000	0.81941
498.000000	0.7976
499.000000	0.79807
500.000000	0.79582
501.000000	0.77199
502.000000	0.78365
503.000000	0.82021
504.000000	0.76501
505.000000	0.82027
506.000000	0.85375
507.000000	0.81725
508.000000	0.79686
509.000000	0.83547
510.000000	0.81417
511.000000	0.82962
512.000000	0.85206
513.000000	0.81272
514.000000	0.79595
515.000000	0.81933
516.000000	0.82723
517.000000	0.67438
518.000000	0.77158
519.000000	0.74814
520.000000	0.81713
521.000000	0.82343
522.000000	0.84228
523.000000	0.79429
524.000000	0.85465
525.000000	0.8607
526.000000	0.8371
527.000000	0.73252
528.000000	0.8389
529.000000	0.87828
530.000000	0.84449
531.000000	0.89107
532.000000	0.87529
533.000000	0.78189
534.000000	0.83785
535.000000	0.85089
536.000000	0.88759
537.000000	0.82157
538.000000	0.87533
539.000000	0.85403
540.000000	0.82493
541.000000	0.79337
542.000000	0.86386
543.000000	0.84994
544.000000	0.88005
545.000000	0.86027
546.000000	0.85265
547.000000	0.86405
548.000000	0.84922
549.000000	0.87604
550.000000	0.87182
551.000000	0.87125
552.000000	0.88939
553.000000	0.86448
554.000000	0.88166
555.000000	0.88684
556.000000	0.87717
557.000000	0.85597
558.000000	0.87473
559.000000	0.82795
560.000000	0.84292
561.000000	0.89221
562.000000	0.8498
563.000000	0.88925
564.000000	0.87208
565.000000	0.87785
566.000000	0.83044
567.000000	0.88549
568.000000	0.87778
569.000000	0.85667
570.000000	0.85745
571.000000	0.8296
572.000000	0.87649
573.000000	0.88044
574.000000	0.87604
575.000000	0.85648
576.000000	0.86097
577.000000	0.88289
578.000000	0.85585
579.000000	0.86832
580.000000	0.88309
581.000000	0.88722
582.000000	0.90107
583.000000	0.91046
584.000000	0.90868
585.000000	0.9016
586.000000	0.88007
587.000000	0.89969
588.000000	0.87967
589.000000	0.77024
590.000000	0.81905
591.000000	0.87591
592.000000	0.85789
593.000000	0.87026
594.000000	0.86647
595.000000	0.85589
596.000000	0.88183
597.000000	0.88469
598.000000	0.87398
599.000000	0.87418
600.000000	0.88302
601.000000	0.87272
602.000000	0.85975
603.000000	0.88948
604.000000	0.90525
605.000000	0.90383
606.000000	0.89945
607.000000	0.90491
608.000000	0.90208
609.000000	0.89534
610.000000	0.89164
611.000000	0.88713
612.000000	0.9006
613.000000	0.88794
614.000000	0.86106
615.000000	0.89279
616.000000	0.86934
617.000000	0.86925
618.000000	0.90227
619.000000	0.90663
620.000000	0.90711
621.000000	0.9112
622.000000	0.87866
623.000000	0.87259
624.000000	0.86973
625.000000	0.864
626.000000	0.86318
627.000000	0.88821
628.000000	0.84088
629.000000	0.87021
630.000000	0.85868
631.000000	0.88376
632.000000	0.85117
633.000000	0.90524
634.000000	0.89122
635.000000	0.90213
636.000000	0.88162
637.000000	0.91173
638.000000	0.9178
639.000000	0.91408
640.000000	0.89502
641.000000	0.89557
642.000000	0.9051
643.000000	0.9145
644.000000	0.9106
645.000000	0.91729
646.000000	0.89427
647.000000	0.89057
648.000000	0.88225
649.000000	0.85493
650.000000	0.86193
651.000000	0.91603
652.000000	0.88008
653.000000	0.90755
654.000000	0.89753
655.000000	0.85639
656.000000	0.75176
657.000000	0.79045
658.000000	0.8836
659.000000	0.88685
660.000000	0.89262
661.000000	0.89213
662.000000	0.88506
663.000000	0.88655
664.000000	0.89419
665.000000	0.91002
666.000000	0.90925
667.000000	0.90267
668.000000	0.90571
669.000000	0.92141
670.000000	0.90875
671.000000	0.90705
672.000000	0.89447
673.000000	0.90217
674.000000	0.9009
675.000000	0.89362
676.000000	0.90401
677.000000	0.90603
678.000000	0.91089
679.000000	0.90317
680.000000	0.90467
681.000000	0.90117
682.000000	0.90553
683.000000	0.8958
684.000000	0.89001
685.000000	0.89065
686.000000	0.87063
687.000000	0.63137
688.000000	0.7291
689.000000	0.73375
690.000000	0.76851
691.000000	0.80104
692.000000	0.83273
693.000000	0.82766
694.000000	0.81841
695.000000	0.83432
696.000000	0.83251
697.000000	0.87864
698.000000	0.8649
699.000000	0.84755
700.000000	0.8414
701.000000	0.83077
702.000000	0.83157
703.000000	0.83641
