# Wavelength	Extinction
# (nm)		(mag)
441.000000	0.6415
442.000000	0.6415
443.000000	0.6415
444.000000	0.6415
445.000000	0.6415
446.000000	0.6415
447.000000	0.6314
448.000000	0.6314
449.000000	0.6314
450.000000	0.6314
451.000000	0.6314
452.000000	0.6314
453.000000	0.6314
454.000000	0.6314
455.000000	0.6314
456.000000	0.6314
457.000000	0.6314
458.000000	0.6146
459.000000	0.6146
460.000000	0.6146
461.000000	0.6146
462.000000	0.6146
463.000000	0.6146
464.000000	0.6146
465.000000	0.6146
466.000000	0.6146
467.000000	0.6146
468.000000	0.598
469.000000	0.5968
470.000000	0.5968
471.000000	0.5945
472.000000	0.5945
473.000000	0.5945
474.000000	0.5945
475.000000	0.5945
476.000000	0.5945
477.000000	0.5945
478.000000	0.5945
479.000000	0.5814
480.000000	0.5814
481.000000	0.5814
482.000000	0.5814
483.000000	0.5814
484.000000	0.5814
485.000000	0.5814
486.000000	0.5814
487.000000	0.5704
488.000000	0.5704
489.000000	0.5704
490.000000	0.565
491.000000	0.565
492.000000	0.565
493.000000	0.565
494.000000	0.565
495.000000	0.565
496.000000	0.565
497.000000	0.565
498.000000	0.565
499.000000	0.565
500.000000	0.565
501.000000	0.565
502.000000	0.5488
503.000000	0.5488
504.000000	0.5488
505.000000	0.5488
506.000000	0.5488
507.000000	0.5488
508.000000	0.5488
509.000000	0.5488
510.000000	0.5488
511.000000	0.5488
512.000000	0.5488
513.000000	0.5329
514.000000	0.5329
515.000000	0.5329
516.000000	0.5329
517.000000	0.5329
518.000000	0.5329
519.000000	0.5329
520.000000	0.5329
521.000000	0.5329
522.000000	0.5329
523.000000	0.5329
524.000000	0.5329
525.000000	0.5172
526.000000	0.5172
527.000000	0.5172
528.000000	0.5172
529.000000	0.5172
530.000000	0.5172
531.000000	0.5172
532.000000	0.5172
533.000000	0.5172
534.000000	0.5172
535.000000	0.5172
536.000000	0.5172
537.000000	0.5172
538.000000	0.5018
539.000000	0.5018
540.000000	0.5018
541.000000	0.5018
542.000000	0.5018
543.000000	0.5018
544.000000	0.5018
545.000000	0.5018
546.000000	0.5018
547.000000	0.5018
548.000000	0.4896
549.000000	0.4896
550.000000	0.4866
551.000000	0.4866
552.000000	0.4866
553.000000	0.4866
554.000000	0.4866
555.000000	0.4866
556.000000	0.4802
557.000000	0.4802
558.000000	0.4802
559.000000	0.4802
560.000000	0.4802
561.000000	0.4802
562.000000	0.4802
563.000000	0.4717
564.000000	0.4717
565.000000	0.4717
566.000000	0.4717
567.000000	0.4717
568.000000	0.4717
569.000000	0.4717
570.000000	0.4717
571.000000	0.4717
572.000000	0.4717
573.000000	0.4717
574.000000	0.4717
575.000000	0.4717
576.000000	0.4572
577.000000	0.4572
578.000000	0.4572
579.000000	0.4572
580.000000	0.4572
581.000000	0.4572
582.000000	0.4572
583.000000	0.4572
584.000000	0.4572
585.000000	0.4572
586.000000	0.4572
587.000000	0.4572
588.000000	0.4572
589.000000	0.4429
590.000000	0.4429
591.000000	0.4429
592.000000	0.4429
593.000000	0.4429
594.000000	0.4429
595.000000	0.4429
596.000000	0.4429
597.000000	0.4429
598.000000	0.4429
599.000000	0.4429
600.000000	0.4429
601.000000	0.4429
602.000000	0.4429
603.000000	0.429
604.000000	0.429
605.000000	0.429
606.000000	0.429
607.000000	0.429
608.000000	0.429
609.000000	0.429
610.000000	0.429
611.000000	0.429
612.000000	0.429
613.000000	0.429
614.000000	0.429
615.000000	0.429
616.000000	0.429
617.000000	0.4154
